,data_loss,physic_loss,
401,0.061766557,8.14E-12,9.880201839
402,0.061764061,8.12E-12,9.881163702
403,0.061761551,8.38E-12,9.867430177
404,0.061759029,8.38E-12,9.867679102
405,0.061756499,8.32E-12,9.870334152
406,0.061753966,8.46E-12,9.863046637
407,0.061751418,8.66E-12,9.852885445
408,0.061748859,8.94E-12,9.839050015
409,0.061746292,9.06E-12,9.833675804
410,0.061743718,9.24E-12,9.824815666
411,0.061741129,9.26E-12,9.824018137
412,0.061738536,9.47E-12,9.814098032
413,0.061735928,9.88E-12,9.795966732
414,0.061733317,9.99E-12,9.791066006
415,0.06173069,1.01E-11,9.788175059
416,0.061728049,1.02E-11,9.782342642
417,0.061725404,1.04E-11,9.773513651
418,0.061722752,1.04E-11,9.772082689
419,0.061720084,1.08E-11,9.757602081
420,0.061717413,1.08E-11,9.755482388
421,0.061714727,1.08E-11,9.755629663
422,0.06171203,1.08E-11,9.757980392
423,0.061709326,1.09E-11,9.752244457
424,0.061706603,1.10E-11,9.748694121
425,0.061703872,1.13E-11,9.737315286
426,0.061701138,1.15E-11,9.72801964
427,0.061698388,1.19E-11,9.716242399
428,0.061695632,1.21E-11,9.706627605
429,0.061692853,1.22E-11,9.703992964
430,0.061690077,1.28E-11,9.684636508
431,0.061687287,1.30E-11,9.677184512
432,0.061684478,1.29E-11,9.681217053
433,0.061681662,1.29E-11,9.67796378
434,0.061678834,1.33E-11,9.667698555
435,0.061675999,1.32E-11,9.668743213
436,0.061673149,1.31E-11,9.671990494
437,0.061670292,1.35E-11,9.658834841
438,0.061667416,1.39E-11,9.647804487
439,0.061664533,1.42E-11,9.639200222
440,0.061661635,1.41E-11,9.641538507
441,0.061658729,1.48E-11,9.619475309
442,0.061655808,1.46E-11,9.6260374
443,0.061652876,1.52E-11,9.608446252
444,0.061649937,1.51E-11,9.610589501
445,0.061646983,1.53E-11,9.605939141
446,0.061644014,1.54E-11,9.603693388
447,0.061641034,1.54E-11,9.603420342
448,0.061638039,1.56E-11,9.596623712
449,0.061635032,1.58E-11,9.591972768
450,0.061632015,1.59E-11,9.589365284
451,0.061628986,1.65E-11,9.572328357
452,0.061625939,1.68E-11,9.56554178
